               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.047267,             0.03115,           0.0072127,              0.8962,              0.6994,             0.81608,             0.42598,            0.046836,             0.02644,           0.0074707,             0.00307,             0.00307,             0.00307
                  72,            0.046843,            0.031908,           0.0067714,             0.83961,             0.71555,             0.79504,             0.43502,            0.045275,            0.026695,           0.0094635,            0.002971,            0.002971,            0.002971
                  73,            0.046935,            0.029494,           0.0067397,             0.80441,              0.6927,             0.76154,             0.38037,            0.047332,            0.027275,           0.0085526,            0.002872,            0.002872,            0.002872
                  74,            0.044439,            0.029928,           0.0056353,             0.81132,             0.72301,             0.79841,             0.40916,            0.045445,            0.026802,            0.007486,            0.002773,            0.002773,            0.002773
                  75,            0.045186,             0.03066,           0.0065813,              0.8004,             0.77564,             0.80906,             0.35668,            0.049132,            0.026741,           0.0074234,            0.002674,            0.002674,            0.002674
                  76,            0.045975,            0.030832,           0.0060316,             0.81901,             0.76172,             0.80869,             0.44748,            0.044602,            0.026207,           0.0071236,            0.002575,            0.002575,            0.002575
                  77,            0.046117,            0.029864,           0.0070174,             0.80233,             0.70513,             0.77663,             0.42024,            0.045679,            0.026588,           0.0084106,            0.002476,            0.002476,            0.002476
                  78,            0.045261,            0.031801,           0.0069821,             0.78241,             0.75967,             0.80234,             0.43364,            0.044907,            0.027504,           0.0075729,            0.002377,            0.002377,            0.002377
                  79,            0.045078,            0.029769,           0.0058844,             0.83663,             0.69292,             0.76042,             0.41321,            0.047294,             0.02676,           0.0087646,            0.002278,            0.002278,            0.002278
                  80,            0.043616,            0.028178,           0.0065341,             0.82311,             0.78846,             0.80103,             0.42821,            0.046129,            0.026459,           0.0073677,            0.002179,            0.002179,            0.002179
                  81,            0.043758,            0.029423,           0.0069085,             0.78755,             0.73582,             0.76801,             0.39797,            0.045403,            0.026573,            0.010356,             0.00208,             0.00208,             0.00208
                  82,            0.044019,            0.029016,           0.0063024,             0.85313,             0.74399,             0.81328,             0.46004,            0.044441,            0.026672,           0.0074799,            0.001981,            0.001981,            0.001981
                  83,            0.043075,             0.02985,           0.0055717,              0.8565,             0.77564,              0.8227,             0.45405,            0.044753,            0.026192,           0.0067101,            0.001882,            0.001882,            0.001882
                  84,              0.0436,            0.028309,           0.0060689,              0.8919,             0.70677,             0.80854,              0.4457,            0.044517,            0.025936,           0.0085403,            0.001783,            0.001783,            0.001783
                  85,            0.043635,            0.031162,           0.0055521,             0.85561,             0.69098,             0.80375,             0.42246,            0.044727,            0.026066,           0.0091675,            0.001684,            0.001684,            0.001684
